image,text,confidence,bbox_x,bbox_y
6.JPG,MOMI,0.9829587936401367,423.5,108.5
6.JPG,& Toy's,0.551514356277151,729.5,117.5
6.JPG,CREPERTE,0.7322664905283319,590.0,171.5
6.JPG,LipRema3g,0.25991042037307477,344.0,329.0
6.JPG,Mal 1,0.3902096541711864,491.5,307.5
6.JPG,Kemang,0.9971395536178898,750.5,317.0
6.JPG,L,0.9975378190652897,981.0,318.0
6.JPG,VI,0.9303473823324193,622.5,349.5
6.JPG,No.,0.3805040419101715,751.5,353.5
6.JPG,6,0.9999134559283362,899.0,347.0
6.JPG,momiantoys_,0.8378677521913342,365.0,389.5
6.JPG,ind,0.9884232740697377,691.0,392.0
6.JPG,(inst,0.9918789176044618,900.5,394.0
6.JPG,@indmomi,0.8293503724936185,354.5,427.0
6.JPG,Tiwitter),0.5307501722792926,763.0,429.5
6.JPG,Check: 3850,0.8608631729859971,578.0,470.0
6.JPG,Pax: 1,0.6779565669937172,195.0,505.0
6.JPG,OP : Gunawan,0.4801132588618466,535.0,512.5
6.JPG,Gunawan,0.9999932414611804,894.0,514.0
6.JPG,POS Title: Cashier,0.8790905979699611,326.0,549.0
6.JPG,Rcpt#:A15000001363,0.6386646997882022,335.5,590.0
6.JPG,26/01/2015 16:13,0.8483012438469476,843.0,594.5
6.JPG,1 Woman,0.9787229752833416,259.5,674.5
6.JPG,2,0.999999880790714,186.0,715.0
6.JPG,Ham Cheese,0.9771775114849496,332.0,716.5
6.JPG,"74,000",0.9599175379821634,960.0,717.0
6.JPG,Ice Java,0.9481648301975502,308.0,758.0
6.JPG,Tea,0.9999814171339712,454.0,759.0
6.JPG,"16, 000",0.7538733626520234,963.0,761.0
6.JPG,Minera],0.5993224418800835,290.0,801.0
6.JPG,Water,0.8096970069209148,451.0,802.0
6.JPG,"13,000",0.8256290259045689,967.0,802.0
6.JPG,Biack & White,0.9254704851156467,359.0,845.0
6.JPG,"72, 000",0.6661509796942766,970.0,847.0
6.JPG,SUBTOTAL,0.9990781566867457,297.0,935.0
6.JPG,"175,000",0.9904651790699102,966.5,933.0
