image,store_name,store_confidence,date,total_price,currency,estimated_items,avg_confidence,receipt_number
6.JPG,MOMI,0.5,2015-01-26,175.0,USD,31,0.8236249969190065,
5.jpg,Whole Foods,1.0,2020-09-15,820.0,USD,45,0.8696214532042746,
8.jpg,#629,0.5,,3.52,USD,28,0.8066540484332293,
10.jpg,SPAR,1.0,,218.68,USD,45,0.7494518591123278,
0.jpg,Walmart,0.93,,12.01,USD,20,0.840731504217334,
9.jpg,Winco,0.5,2014-09-08,121.92,USD,57,0.716163347681135,
1.jpg,Trader Joe's,0.91,2014-06-28,838.68,USD,27,0.7370796760140367,
16.jpg,LIDL,0.67,2017-11-13,21.74,USD,37,0.8157053733152948,
7.jpg,LIDL,0.67,2017-11-13,21.74,USD,37,0.8157053733152948,
13.jpg,Walmart,1.0,2014-06-12,50.6,USD,18,0.41954202053495454,
